batting_team,match_count
Kolkata Knight Riders,9
Kings XI Punjab,14
Chennai Super Kings,15
Mumbai Indians,13
Rajasthan Royals,9
Deccan Chargers,1
Royal Challengers Bangalore,17
Delhi Daredevils,5
Sunrisers Hyderabad,12
Gujarat Lions,1
Delhi Capitals,2
