bowler,economy_rate
Rashid Khan,6.3342
A Kumble,6.6470
GD McGrath,6.6748
M Muralitharan,6.6772
DW Steyn,6.7698
R Ashwin,6.7737
RE van der Merwe,6.7912
SP Narine,6.8159
DL Vettori,6.8331
Washington Sundar,6.8909
J Botha,6.9224
R Tewatia,6.9915
Harbhajan Singh,7.0206
SL Malinga,7.0330
JC Archer,7.0490
R Sharma,7.0588
AD Mascarenhas,7.0645
DP Nannes,7.0972
CV Varun,7.1057
MA Starc,7.1078
B Kumar,7.1549
KH Pandya,7.1551
Iqbal Abdulla,7.1580
DE Bollinger,7.1600
SK Warne,7.1872
Ravi Bishnoi,7.1887
M Kartik,7.1980
MF Maharoof,7.2381
Ankit Sharma,7.2480
JP Duminy,7.2496
A Mishra,7.2620
RR Powar,7.2867
WD Parnell,7.2978
AR Patel,7.3122
YK Pathan,7.3125
SK Raina,7.3484
B Lee,7.3755
DL Chahar,7.3767
JJ Bumrah,7.3784
RD Chahar,7.3902
PP Ojha,7.4005
Shakib Al Hasan,7.4050
Yuvraj Singh,7.4218
Mustafizur Rahman,7.4250
R Bhatia,7.4377
S Nadeem,7.4535
SK Trivedi,7.4913
STR Binny,7.4926
SW Tait,7.5056
MM Patel,7.5239
RJ Harris,7.5260
GB Hogg,7.5322
Z Khan,7.5395
M Morkel,7.5433
NM Coulter-Nile,7.5499
Sandeep Sharma,7.5733
P Kumar,7.6041
YS Chahal,7.6289
AC Thomas,7.6330
RA Jadeja,7.6441
BW Hilfenhaus,7.6462
R Dhawan,7.6608
M Ashwin,7.6661
Azhar Mahmood,7.6848
IK Pathan,7.6981
SR Watson,7.6986
CH Morris,7.6997
PV Tambe,7.7092
A Symonds,7.7111
A Nehra,7.7112
MR Marsh,7.7220
S Sreesanth,7.7360
RP Singh,7.7385
CH Gayle,7.7569
DT Christian,7.7897
IC Pandey,7.7910
Harmeet Singh,7.7923
P Negi,7.8090
Imran Tahir,7.8219
JH Kallis,7.8310
S Gopal,7.8374
RG Sharma,7.8772
A Singh,7.8889
KK Cooper,7.8900
ST Jayasuriya,7.8937
PP Chawla,7.9087
L Balaji,7.9403
AB Dinda,7.9408
KV Sharma,7.9661
I Sharma,7.9713
DS Kulkarni,7.9946
Bipul Sharma,7.9954
JA Morkel,7.9989
Mujeeb Ur Rahman,8.0000
MG Johnson,8.0216
SB Jakati,8.0327
S Aravind,8.0482
BA Bhatt,8.0792
T Natarajan,8.1019
P Awana,8.1085
K Rabada,8.1143
NA Saini,8.1261
PJ Cummins,8.1343
AD Mathews,8.1413
LH Ferguson,8.1509
DJ Bravo,8.1567
MJ McClenaghan,8.1976
JO Holder,8.1980
MC Henriques,8.2026
Kuldeep Yadav,8.2212
KW Richardson,8.2822
AJ Tye,8.2977
MM Sharma,8.3164
TA Boult,8.3177
R Vinay Kumar,8.3185
UT Yadav,8.3391
K Gowtham,8.3478
BA Stokes,8.3797
KA Pollard,8.3805
LR Shukla,8.4295
A Nortje,8.4415
GJ Maxwell,8.4516
TG Southee,8.4721
PJ Sangwan,8.4876
AN Ahmed,8.5359
VY Mahesh,8.5404
MS Gony,8.5427
SM Curran,8.5551
M Markande,8.5574
Shivam Mavi,8.5689
VR Aaron,8.5698
HV Patel,8.5714
S Kaul,8.5731
SN Thakur,8.5850
AB Agarkar,8.5902
JP Faulkner,8.5909
NLTC Perera,8.6517
KK Ahmed,8.6617
SJ Srivastava,8.7059
JD Unadkat,8.7134
Mohammed Siraj,8.7381
Mohammed Shami,8.7571
HH Pandya,8.7965
AD Russell,8.8179
Anureet Singh,8.8744
VRV Singh,8.8787
DR Smith,8.8869
BB Sran,8.9186
CR Woakes,8.9242
AS Rajpoot,8.9312
CJ Jordan,8.9639
R McLaren,9.0000
M Prasidh Krishna,9.0000
DJ Hussey,9.0093
Pankaj Singh,9.1061
JR Hopes,9.1382
A Mithun,9.1731
MP Stoinis,9.2776
Basil Thampi,9.6659
CJ Anderson,10.0000
