batsman,count(batsman_runs)
Azhar Mahmood,39
CH Morris,39
JP Faulkner,36
E Lewis,36
DB Ravi Teja,35
R Ashwin,35
S Sohal,34
OA Shah,34
VVS Laxman,33
LR Shukla,33
N Pooran,33
MV Boucher,32
SP Goswami,32
UBT Chand,32
DJ Hooda,32
SW Billings,31
Salman Butt,30
A Mishra,29
B Chipli,28
SP Fleming,27
P Negi,27
SM Katich,26
YV Takawale,26
RN ten Doeschate,26
LA Pomersbach,25
JEC Franklin,25
SM Curran,25
R Bhatia,24
MD Mishra,24
AL Menaria,24
MJ Guptill,24
R Tewatia,24
DB Das,23
DH Yagnik,23
NLTC Perera,23
GH Vihari,23
R Parag,23
P Kumar,22
M Kaif,22
R Sathish,22
FY Fazal,22
DT Christian,22
CA Ingram,22
S Vidyut,21
R Vinay Kumar,21
AC Blizzard,21
BJ Rohrer,21
MM Ali,21
Y Nagar,20
MN van Wyk,19
AA Jhunjhunwala,19
C Munro,19
KV Sharma,18
JJ Roy,18
C de Grandhomme,18
K Goel,17
B Kumar,17
CM Gautam,17
S Gopal,17
N Saini,16
A Ashish Reddy,16
LJ Wright,16
RD Gaikwad,16
AC Voges,15
PA Reddy,15
DJG Sammy,15
BCJ Cutting,15
Washington Sundar,15
SO Hetmyer,15
SK Warne,14
W Jaffer,14
Niraj Patel,14
R McLaren,14
DW Steyn,14
UT Khawaja,14
PJ Cummins,14
Kamran Akmal,13
AB Agarkar,13
AS Raut,13
BB Samantray,13
R Dhawan,13
K Gowtham,13
Mohammad Nabi,13
AD Hales,13
SM Pollock,12
MF Maharoof,12
RJ Quiney,12
MJ Clarke,12
D Wiese,12
TM Head,12
Z Khan,11
DL Vettori,11
RE van der Merwe,11
LA Carseldine,11
M Morkel,11
Bipul Sharma,11
DJ Harris,11
MC Juneja,11
UT Yadav,11
Sachin Baby,11
DJM Short,11
JC Archer,11
SB Styris,10
Misbah-ul-Haq,10
SD Chitnis,10
DJ Jacobs,10
RE Levi,10
MG Johnson,10
MA Starc,10
CR Brathwaite,10
Abhishek Sharma,10
PR Shah,9
AB McDonald,9
PD Collingwood,9
MR Marsh,9
S Anirudha,9
AG Paunikar,9
Iqbal Abdulla,9
TR Birt,9
M Klinger,9
CJ Ferguson,9
S Rana,9
KK Cooper,9
MN Samuels,9
JO Holder,9
MM Sharma,9
K Rabada,9
JR Philippe,9
PK Garg,9
B Lee,8
TG Southee,8
Rashid Khan,8
TK Curran,8
Abdul Samad,8
Mohammad Hafeez,7
Shahid Afridi,7
M Kartik,7
A Chopra,7
S Aravind,7
AP Majumdar,7
DS Kulkarni,7
BR Dunk,7
Ankit Sharma,7
NM Coulter-Nile,7
AD Nath,7
L Ronchi,6
JDP Oram,6
RR Sarwan,6
MS Gony,6
RR Powar,6
S Sreesanth,6
Anirudh Singh,6
S Narwal,6
RJ Harris,6
IR Jaggi,6
Sunny Singh,6
SL Malinga,6
AJ Tye,6
RK Singh,6
JD Unadkat,6
S Dube,6
LS Livingstone,6
RT Ponting,5
D Salunkhe,5
AS Yadav,5
Shoaib Malik,5
B Akhil,5
J Arunkumar,5
LPC Silva,5
A Flintoff,5
AD Mascarenhas,5
Yashpal Singh,5
AA Bilakhia,5
MM Patel,5
AB Barath,5
R Sharma,5
AUK Pathan,5
RV Gomez,5
HV Patel,5
Imran Tahir,5
SN Thakur,5
MJ McClenaghan,5
CR Woakes,5
SP Jackson,5
Mohammed Shami,5
Kuldeep Yadav,5
H Klaasen,5
MK Lomror,5
S Chanderpaul,4
M Rawat,4
I Sharma,4
P Dogra,4
A Mithun,4
WD Parnell,4
J Syed Mohammad,4
KB Arun Karthik,4
AN Ahmed,4
NJ Maddinson,4
J Suchith,4
Mohammed Siraj,4
LH Ferguson,4
N Jagadeesan,4
DS Lehmann,3
Sohail Tanvir,3
T Taibu,3
A Kumble,3
SB Jakati,3
AP Dole,3
SK Trivedi,3
S Sriram,3
C Madan,3
B Sumanth,3
A Nehra,3
Y Gnaneswara Rao,3
Harmeet Singh,3
RJ Peterson,3
MDKJ Perera,3
R Rampaul,3
JDS Neesham,3
RR Rossouw,3
VH Zol,3
Sandeep Sharma,3
M Markande,3
P Simran Singh,3
NA Saini,3
MA Khote,2
DJ Thornely,2
M Ntini,2
RP Singh,2
WA Mota,2
WPUJC Vaas,2
L Balaji,2
BJ Haddin,2
AA Chavan,2
KW Richardson,2
AB Dinda,2
S Nadeem,2
VR Aaron,2
R Shukla,2
NS Naik,2
JJ Bumrah,2
F Behardien,2
ER Dwivedi,2
Anureet Singh,2
AS Rajpoot,2
Mujeeb Ur Rahman,2
P Chopra,2
DL Chahar,2
Shivam Mavi,2
P Ray Barman,2
RD Chahar,2
AS Joseph,2
Harpreet Brar,2
SE Rutherford,2
JL Pattinson,2
YBK Jaiswal,2
CJ Jordan,2
TU Deshpande,2
AA Noffke,1
SB Bangar,1
VRV Singh,1
RR Raje,1
DT Patil,1
Joginder Sharma,1
DNT Zoysa,1
Umar Gul,1
GD McGrath,1
GR Napier,1
R Bishnoi,1
AN Ghosh,1
M Muralitharan,1
SS Shaikh,1
JM Kemp,1
DR Martyn,1
KAJ Roach,1
VS Malik,1
RS Sodhi,1
DE Bollinger,1
JJ van der Wath,1
I Malhotra,1
SW Tait,1
DAJ Bracewell,1
GB Hogg,1
KMDN Kulasekara,1
J Theron,1
AC Thomas,1
PJ Sangwan,1
AG Murtaza,1
A Mukund,1
UA Birla,1
Shivam Sharma,1
Karanveer Singh,1
SA Abbott,1
P Sahu,1
Parvez Rasool,1
PV Tambe,1
Vishnu Vinod,1
A Zampa,1
Basil Thampi,1
DM Bravo,1
A Choudhary,1
AR Bawne,1
B Stanlake,1
Avesh Khan,1
SD Lad,1
KMA Paul,1
T Banton,1
KL Nagarkoti,1
I Udana,1
Ravi Bishnoi,1
