batsman,count(batsman_runs)
S Dhawan,591
DA Warner,510
V Kohli,504
SK Raina,493
G Gambhir,492
RG Sharma,458
RV Uthappa,454
AM Rahane,416
AB de Villiers,390
CH Gayle,384
KD Karthik,377
SR Watson,376
PA Patel,365
V Sehwag,334
MS Dhoni,313
AT Rayudu,308
SR Tendulkar,296
BB McCullum,293
MK Pandey,288
R Dravid,269
SE Marsh,266
YK Pathan,262
JH Kallis,255
M Vijay,247
DR Smith,245
AC Gilchrist,239
KL Rahul,234
SA Yadav,221
Yuvraj Singh,217
SPD Smith,212
F du Plessis,205
AJ Finch,204
Q de Kock,201
DPMD Jayawardene,200
MEK Hussey,198
KA Pollard,196
KC Sangakkara,195
SV Samson,191
SS Iyer,189
WP Saha,184
RR Pant,184
Mandeep Singh,170
JC Buttler,167
MA Agarwal,161
KK Nair,160
RA Jadeja,157
MK Tiwary,156
S Badrinath,154
TM Dilshan,140
SC Ganguly,137
KS Williamson,137
CA Lynn,128
N Rana,127
JP Duminy,126
DA Miller,126
BJ Hodge,122
ML Hayden,121
NV Ojha,121
GJ Maxwell,119
DJ Bravo,116
LMP Simmons,109
AD Russell,105
EJG Morgan,104
SP Narine,103
SS Tiwary,101
Ishan Kishan,100
KM Jadhav,99
PP Shaw,99
M Vohra,97
KH Pandya,95
RA Tripathi,95
GC Smith,94
MS Bisla,93
KP Pietersen,91
DJ Hussey,90
IK Pathan,87
MC Henriques,87
Shubman Gill,87
HH Pandya,86
ST Jayasuriya,84
HH Gibbs,83
Harbhajan Singh,79
BA Stokes,79
JM Bairstow,79
Y Venugopal Rao,77
CL White,76
A Symonds,74
Shakib Al Hasan,70
JD Ryder,69
LRPL Taylor,66
STR Binny,66
MP Stoinis,65
JA Morkel,61
PC Valthaty,61
HM Amla,60
GJ Bailey,59
SA Asnodkar,56
AM Nayar,55
TL Suman,55
Gurkeerat Singh,55
PP Chawla,54
AR Patel,53
D Padikkal,51
CA Pujara,50
SN Khan,50
JR Hopes,49
MJ Lumb,45
AD Mathews,44
V Shankar,44
M Manhas,43
AP Tare,40
CJ Anderson,40
RS Bopara,39
J Botha,39
